dimension,granularity,indicator_name,status,result
flexibility,cases,human_resource_count,success,2
flexibility,cases,optional_activity_count,success,1
flexibility,cases,optionality,success,1.0
flexibility,cases,role_count,success,2
flexibility,cases,variant_case_coverage,index 0 is out of bounds for axis 0 with size 0,
flexibility,groups,activity_and_role_count_ratio,success,1.3333333333333333
flexibility,groups,activity_instance_and_human_resource_count_ratio,success,2.75
flexibility,groups,client_count,success,3
flexibility,groups,directly_follows_relations_and_activity_count_ratio,index 0 is out of bounds for axis 0 with size 0,
flexibility,groups,directly_follows_relations_count,index 0 is out of bounds for axis 0 with size 0,
flexibility,groups,expected_activity_and_role_count_ratio,success,1.3333333333333333
flexibility,groups,expected_activity_instance_and_human_resource_count_ratio,success,2.75
flexibility,groups,expected_client_count,success,1.0
flexibility,groups,expected_directly_follows_relations_and_activity_count_ratio,index 0 is out of bounds for axis 0 with size 0,
flexibility,groups,expected_directly_follows_relations_count,index 0 is out of bounds for axis 0 with size 0,
flexibility,groups,expected_human_resource_count,success,2.6666666666666665
flexibility,groups,expected_optional_activity_count,success,2.6666666666666665
flexibility,groups,expected_optionality,success,1.0
flexibility,groups,expected_role_count,success,2.0
flexibility,groups,human_resource_count,success,8
flexibility,groups,optional_activity_count,unhashable type: 'Series',
flexibility,groups,optionality,unhashable type: 'Series',
flexibility,groups,role_and_variant_count_ratio,index 0 is out of bounds for axis 0 with size 0,
flexibility,groups,role_count,success,6
flexibility,groups,variant_case_coverage,index 0 is out of bounds for axis 0 with size 0,
flexibility,groups,variant_count,index 0 is out of bounds for axis 0 with size 0,
general,activities,activity_instance_count,success,94
general,activities,human_resource_count,success,3
general,activities,resource_count,success,2
general,cases,activity_count,success,1
general,cases,activity_instance_count,success,2
general,cases,human_resource_count,success,2
general,cases,resource_count,success,2
general,cases,role_count,success,2
general,groups,activity_count,success,8
general,groups,activity_instance_count,success,22
general,groups,case_count,success,3
general,groups,expected_activity_count,success,2.6666666666666665
general,groups,expected_activity_instance_count,success,7.333333333333333
general,groups,expected_human_resource_count,success,2.6666666666666665
general,groups,expected_resource_count,success,2.0
general,groups,expected_role_count,success,2.0
general,groups,human_resource_count,success,8
general,groups,resource_count,success,6
general,groups,role_count,success,6
quality,activities,activity_instance_count_by_human_resource,single positional indexer is out-of-bounds,
quality,activities,client_count_and_total_cost_ratio,index 0 is out of bounds for axis 0 with size 0,
quality,activities,human_resource_count,success,3
quality,activities,outcome_unit_count,index 0 is out of bounds for axis 0 with size 0,
quality,activities,rework_count,success,76
quality,activities,rework_count_by_value,success,76
quality,activities,rework_percentage,success,0.8085106382978723
quality,activities,rework_percentage_by_value,success,0.8085106382978723
quality,activities,rework_time,single positional indexer is out-of-bounds,
quality,activities,successful_outcome_unit_count,index 0 is out of bounds for axis 0 with size 0,
quality,activities,successful_outcome_unit_percentage,index 0 is out of bounds for axis 0 with size 0,
quality,activities,total_cost_and_client_count_ratio,index 0 is out of bounds for axis 0 with size 0,
quality,cases,activity_instance_count_by_human_resource,success,1
quality,cases,activity_instance_count_by_role,success,1
quality,cases,automated_activity_count,success,1
quality,cases,automated_activity_instance_count,success,2
quality,cases,desired_activity_count,success,0
quality,cases,human_resource_count,success,2
quality,cases,non_automated_activity_count,success,0
quality,cases,non_automated_activity_instance_count,success,0
quality,cases,outcome_unit_count,success,0.0
quality,cases,overall_quality,success,3.0
quality,cases,repeatability,success,0.5
quality,cases,rework_count,success,1
quality,cases,rework_count_by_value,success,1
quality,cases,rework_of_activities_subset,success,1
quality,cases,rework_percentage,success,0.5
quality,cases,rework_percentage_by_value,success,0.5
quality,cases,rework_time,success,0 days 00:00:00
quality,cases,successful_outcome_unit_count,success,0.0
quality,cases,successful_outcome_unit_percentage,"Error performing indicator division. Numerator value=0.0, denominator value=0.0",
quality,cases,unwanted_activity_count,success,0
quality,cases,unwanted_activity_instance_count,success,0
quality,cases,unwanted_activity_instance_percentage,success,0.0
quality,cases,unwanted_activity_percentage,success,0.0
quality,groups,activity_instance_count_by_human_resource,single positional indexer is out-of-bounds,
quality,groups,activity_instance_count_by_role,single positional indexer is out-of-bounds,
quality,groups,automated_activity_count,success,2
quality,groups,automated_activity_instance_count,single positional indexer is out-of-bounds,
quality,groups,case_and_client_count_ratio,success,1.0
quality,groups,case_count_where_activity_after_time_frame,Cannot compare tz-naive and tz-aware timestamps,
quality,groups,case_count_where_activity_before_time_frame,Cannot compare tz-naive and tz-aware timestamps,
quality,groups,case_count_where_activity_during_time_frame,Cannot compare tz-naive and tz-aware timestamps,
quality,groups,case_count_where_end_activity_is_a,Missing required args: ['a_activity_name'],
quality,groups,case_count_where_start_activity_is_a,Missing required args: ['a_activity_name'],
quality,groups,case_count_with_rework,success,3
quality,groups,case_percentage_where_activity_after_time_frame,Cannot compare tz-naive and tz-aware timestamps,
quality,groups,case_percentage_where_activity_before_time_frame,Cannot compare tz-naive and tz-aware timestamps,
quality,groups,case_percentage_where_activity_during_time_frame,Cannot compare tz-naive and tz-aware timestamps,
quality,groups,case_percentage_where_end_activity_is_a,Missing required args: ['a_activity_name'],
quality,groups,case_percentage_where_start_activity_is_a,Missing required args: ['a_activity_name'],
quality,groups,case_percentage_with_missed_deadline,'>' not supported between instances of 'Timestamp' and 'Timedelta',
quality,groups,case_percentage_with_rework,success,1.0
quality,groups,client_count_and_total_cost_ratio,index 0 is out of bounds for axis 0 with size 0,
quality,groups,desired_activity_count,success,2
quality,groups,expected_activity_instance_count_by_human_resource,single positional indexer is out-of-bounds,
quality,groups,expected_activity_instance_count_by_role,single positional indexer is out-of-bounds,
quality,groups,expected_automated_activity_count,success,1.3333333333333333
quality,groups,expected_automated_activity_instance_count,single positional indexer is out-of-bounds,
